"(1,""Продукты питания: Мясные продукты"")"
"(2,""Продукты питания: Рыбные продукты"")"
"(3,""Продукты питания: Молочные продукты"")"
"(4,""Продукты питания: Макаронные изделия, крупы, бобовые"")"
"(5,""Продукты питания: Продукты быстрого приготовления"")"
"(6,""Продукты питания: Замороженные продукты"")"
"(7,""Продукты питания: Майонез, кетчуп, соусы"")"
"(8,""Продукты питания: Специи и приправы"")"
"(9,""Кондитерские изделия: Мороженое"")"
"(10,""Кондитерские изделия: Выпечка"")"
"(11,""Кондитерские изделия: Покупные десерты, торты"")"
"(12,""Кондитерские изделия: Шоколадные плитки, батончики"")"
"(13,""Кондитерские изделия: Шоколадные конфеты"")"
"(14,""Кондитерские изделия: Сухарики в упаковке"")"
"(15,""Кондитерские изделия: Орехи в упаковке, ореховые смеси с сухофруктами"")"
"(16,""Кондитерские изделия: Чипсы"")"
"(17,""Кондитерские изделия: Жевательные конфеты, резинка"")"
"(18,""Кондитерские изделия: Драже, леденцы, пластинки, освежающие дыхание"")"
"(19,""Безалкогольные напитки: Прохладительные напитки"")"
"(20,""Безалкогольные напитки: Горячие напитки"")"
"(21,""Безалкогольные напитки: Холодный чай"")"
"(22,""Безалкогольные напитки: Минеральная и покупная питьевая вода"")"
"(23,""Безалкогольные напитки: Фруктовые и овощные соки, нектары, напитки"")"
"(24,""Безалкогольные напитки: Энергетические напитки"")"
"(25,""Безалкогольные напитки: Квас"")"
"(26,""Алкогольные напитки: Алкоголь"")"
"(27,""Курительные принадлежности: Табак и курительные принадлежности"")"
"(28,""Медицина: Медицинские клиники, врачи"")"
"(29,""Фармацевтика: Антисептики"")"
"(30,""Фармацевтика: Антиспазматические препараты"")"
"(31,""Фармацевтика: Витамины и БАДы"")"
"(32,""Фармацевтика: Глазные капли и мази"")"
"(33,""Фармацевтика: Иммуностимулирующие средства"")"
"(34,""Фармацевтика: Контактные линзы"")"
"(35,""Фармацевтика: Лекарства для восстановления функции печени"")"
"(36,""Фармацевтика: Гинекологические средства"")"
"(37,""Фармацевтика: Лекарства от изжоги и боли в желудке"")"
"(38,""Фармацевтика: Мочегонные и урологические средства"")"
"(39,""Фармацевтика: Обезболивающие и жаропонижающие препараты"")"
"(40,""Фармацевтика: Презервативы"")"
"(41,""Фармацевтика: Препараты для лечения кожных заболеваний"")"
"(42,""Фармацевтика: Препараты, способствующие пищеварению"")"
"(43,""Фармацевтика: Противоаллергические средства"")"
"(44,""Фармацевтика: Противогрибковые средства"")"
"(45,""Фармацевтика: Противозачаточные средства"")"
"(46,""Фармацевтика: Сердечно-сосудистые препараты"")"
"(47,""Фармацевтика: Слабительные препараты"")"
"(48,""Фармацевтика: Средства для лечения варикозного расширения вен"")"
"(49,""Фармацевтика: Средства для лечения геморроя"")"
"(50,""Фармацевтика: Средства для лечения нарушений обмена веществ"")"
"(51,""Фармацевтика: Средства для лечения никотиновой зависимости"")"
"(52,""Фармацевтика: Средства для улучшения мозгового кровообращения"")"
"(53,""Фармацевтика: Средства от боли в мышцах и суставах"")"
"(54,""Фармацевтика: Средства от желудочно-кишечных заболеваний и расстройств"")"
"(55,""Фармацевтика: Средства от кашля и боли в горле, леденцы и пастилки от кашля"")"
"(56,""Фармацевтика: Средства от насморка и средства для промывания носа"")"
"(57,""Фармацевтика: Средства от простуды"")"
"(58,""Фармацевтика: Успокоительные и неврологические средства"")"
"(59,""Уход, косметика, парфюмерия: Средства по уходу за кожей лица и тела"")"
"(60,""Уход, косметика, парфюмерия: Декоративная косметика"")"
"(61,""Уход, косметика, парфюмерия: Парфюмерия"")"
"(62,""Средства гигиены: Зубная паста, щетки, зубные нити"")"
"(63,""Средства гигиены: Жидкости для полоскания полости рта"")"
"(64,""Средства гигиены: Шампуни, бальзамы, кондиционеры, маски для волос"")"
"(65,""Средства гигиены: Красители, средства для укладки волос"")"
"(66,""Средства гигиены: Гели для душа, добавки для ванн, мыло"")"
"(67,""Средства гигиены: Средства для ухода за проблемной кожей"")"
"(68,""Средства гигиены: Дезодоранты"")"
"(69,""Средства гигиены: Предметы женской гигиены"")"
"(70,""Средства гигиены: Средства для бритья и эпиляции"")"
"(71,""Одежда, обувь и аксессуары: Одежда"")"
"(72,""Одежда, обувь и аксессуары: Обувь"")"
"(73,""Одежда, обувь и аксессуары: Колготки, чулки"")"
"(74,""Одежда, обувь и аксессуары: Нижнее белье"")"
"(75,""Одежда, обувь и аксессуары: Наручные часы"")"
"(76,""Одежда, обувь и аксессуары: Ювелирные изделия"")"
"(77,""Товары для детей: Детское питание"")"
"(78,""Товары для детей: Детский шампунь"")"
"(79,""Товары для детей: Средства по уходу за кожей для детей"")"
"(80,""Товары для детей: Детская зубная паста"")"
"(81,""Товары для детей: Подгузники"")"
"(82,""Товары для детей: Детская одежда и обувь"")"
"(83,""Товары для детей: Детские игрушки"")"
"(84,""Домашние животные: Корма для кошек"")"
"(85,""Домашние животные: Корма для собак"")"
"(86,""Домашние животные: Наполнители для кошачьих туалетов"")"
"(87,""Бытовая химия: Чистящие средства"")"
"(88,""Бытовая химия: Средства для мытья посуды"")"
"(89,""Бытовая химия: Стиральные порошки, жидкости, гели"")"
"(90,""Бытовая химия: Отбеливатели и пятновыводители"")"
"(91,""Бытовая химия: Кондиционеры, ополаскиватели для белья"")"
"(92,""Бытовая химия: Средства для защиты от комаров"")"
"(93,""Бытовая химия: Средства от домашних насекомых"")"
"(94,""Бытовая химия: Средства для чистки и полировки обуви"")"
"(95,""Бытовая химия: Освежители, ароматизаторы воздуха"")"
"(96,""Бытовая химия: Бумажные полотенца"")"
"(97,""Бытовая химия: Туалетная бумага"")"
"(98,""Товары и оборудование для дома, дачи: Кухонные принадлежности"")"
"(99,""Товары и оборудование для дома, дачи: Бытовые фильтры для воды"")"
"(100,""Товары и оборудование для дома, дачи: Мебель"")"
"(101,""Товары и оборудование для дома, дачи: Материалы и оборудование для ремонта"")"
"(102,""Бытовая техника: Стиральная машина"")"
"(103,""Бытовая техника: Холодильник"")"
"(104,""Бытовая техника: Аэрогриль"")"
"(105,""Бытовая техника: Кондиционер"")"
"(106,""Бытовая техника: Пылесос"")"
"(107,""Бытовая техника: Микроволновая печь"")"
"(108,""Бытовая техника: Посудомоечная машина"")"
"(109,""Бытовая техника: Бытовая техника для кухни"")"
"(110,""Бытовая техника: Другая бытовая техника"")"
"(111,""Видео и аудиотехника: Телевизор"")"
"(112,""Видео и аудиотехника: Игровая приставка"")"
"(113,""Видео и аудиотехника: Батарейки"")"
"(114,""Видео и аудиотехника: Другая видео и аудиотехника"")"
"(115,""Компьютер и периферия: Компьютеры и компьютерные комплектующие"")"
"(116,""Средства связи: Сотовые телефоны, смартфоны, коммуникаторы"")"
"(117,""Автомобиль: Автомобиль"")"
"(118,""Автомобиль: Бензин, топливо"")"
"(119,""Автомобиль: Автомобильные масла и др."")"
"(120,""Автомобиль: Шины"")"
"(121,""Автомобиль: Автопринадлежности"")"
"(122,""Автомобиль: Мотоциклы"")"
"(123,""Услуги: Услуги связи"")"
"(124,""Услуги: Недвижимость"")"
"(125,""Услуги: Фитнес-клубы, тренажерные залы"")"
"(126,""Услуги: Почтовые и курьерские компании"")"
"(127,""Финансы и страхование: Банки"")"
"(128,""Финансы и страхование: Банковские карты"")"
"(129,""Финансы и страхование: Страхование"")"
"(130,""Финансы и страхование: Кредитование"")"
"(131,""Финансы и страхование: Управляющие компании"")"
"(132,""Финансы и страхование: Другие финансовые услуги"")"
"(133,""Отдых, путешествия, туризм: Туристические компании"")"
"(134,""Отдых, путешествия, туризм: Авиакомпании"")"
"(135,""Отдых, путешествия, туризм: Путешествия по России"")"
"(136,""Отдых, путешествия, туризм: Путешествия за границу"")"
"(137,""Магазины: Магазины мебели, товаров для дома и ремонта"")"
"(138,""Магазины: Торговые центры"")"
"(139,""Магазины: Магазины для детей и мам"")"
"(140,""Магазины: Магазины оптики"")"
"(141,""Магазины: Магазины бытовой техники и электроники"")"
"(142,""Магазины: Магазины одежды и обуви"")"
"(143,""Магазины: Спортивные магазины"")"
"(144,""Магазины: Магазины парфюмерии, косметики"")"
"(145,""Магазины: Книжные магазины"")"
"(146,""Магазины: Магазины продуктов питания"")"
"(147,""Магазины: Автомагазины"")"
"(148,""Магазины: Аптеки"")"
